,원 질병이름,사이트 질병 이름,진료과,동의어,정의
73,쇼그렌 증후군,쇼그렌 증후군(Sicca syndrome (Sjogren)),"안과, 이비인후과, 류마티스내과","건조 증후군,쇼그렌병,쉐그렌 증후군,자가면역 상피염,자가면역 외분비병증","쇼그렌 증후군은 타액선, 눈물샘 등에 림프구가 침입해 만성 염증이 발생하여 분비 장애를 일으켜서 입이 마르고 눈이 건조해지는 증상이 나타나는 자가면역성 전신 질환을 의미합니다. 이 병명은 질환을 처음으로 기술한 스웨덴 의사 헨릭 쇼그렌의 이름을 따서 지었습니다. 이 증후군은 여성이 남성보다 9배 정도 많이 발생합니다. 특히 30~50세의 중년 여성에게서 잘 발생합니다."
74,식도 정맥류 파열,식도 정맥류(Esophageal varices),소화기내과,Esophageal Varix,식도 정맥류는 식도에 있는 정맥이 혹처럼 부풀어 오르는 질환입니다. 이 질환은 간경변증의 주요 합병증입니다.
75,식도암,식도암(Esophageal cancer),"소화기내과, 종양내과, 영상의학과, 방사선종양학과, 신경외과, 이비인후과, 흉부외과, 위장관외과",식도암종,"식도암은 식도에 생긴 암입니다. 식도암은 위치에 따라 경부 식도암, 흉부 식도암, 위-식도 연결부위암으로 구분되고, 세포의 형태에 따라 편평세포암, 선암, 육종, 림프종, 흑색종 등으로 구분됩니다. 우리나라에서 많이 발생하는 식도암은 편평세포암으로, 전체 식도암의 95% 정도를 차지합니다. 편평세포암은 식도 점막의 상피세포에서 생기는 암으로, 대개 식도의 중부와 하부에 발생합니다. 선암은 식도의 분비샘 조직에서 생기는 암으로, 대개 위 근처인 하부 식도에서 발생합니다."
76,식도정맥류,식도 정맥류(Esophageal varices)       ,소화기내과,Esophageal Varix,식도 정맥류는 식도에 있는 정맥이 혹처럼 부풀어 오르는 질환입니다. 이 질환은 간경변증의 주요 합병증입니다. 식도 정맥류는 출혈이 발생할 경우 사망률이 12~22%에 달하는 응급 질환입니다. 간경변증 환자의 주요 사망 원인 중 하나입니다.
77,식중독,식중독(Foodborne illness)    ,"가정의학과, 소화기내과, 위장관외과, 소아소화기영양과",Food poisoning       ,"식중독은 음식물을 섭취함으로써 소화기가 감염되어 설사, 복통 등의 증상이 급성 또는 만성으로 나타나는 질환을 통칭합니다. 정확하게는 식품 매개 질환이라고 하는 것이 맞습니다."
78,신경 이상에 의한 변비,Constipation due to nerve abnormalities,소화기내과,변비,신경 이상에 의한 변비는 신경의 이상으로 인해 배변활동이 원활하게 이뤄지지 않는 상태를 말합니다.
79,신경성 식욕부진증,신경성 식욕부진증(Anorexia nervosa),"정신건강의학과, 소아정신건강의학과","거식증,신경성 식욕부진","신경성 식욕부진증은 마르기 위해 강박적으로 애쓰는 사람들에게 나타나는 일종의 심리적, 정신적, 사회적 장애로, 먹는 것을 제한하는 섭식 장애입니다. 전체 환자의 90% 이상은 젊은 여성이지만, 남성에게도 나타날 수 있습니다. 신경성 식욕부진 환자들은 강한 식욕 또는 음식에 대한 갈망을 가지고 있지만 적극적으로 이를 억제합니다."
80,신우신염,급성 신우신염(Acute pyelonephritis),"감염내과, 신장내과, 소아신장과","신우신염,신우염",급성 신우신염은 신장이나 신우 등 상부 요로계가 감염된 것을 의미합니다. 방광이나 요도의 감염은 하부 요로 감염이라고 합니다.
81,신장성 요붕증,신장성 요붕증(Nephrogenic diabetes insipidus) ,"내분비내과, 소아내분비대사과",업데이트 예정,"요붕증이란 심한 갈증에도 불구하고 비정상적으로 많은 양의 농축되지 않은 소변을 보는 상태를 말하며, 대개 소변 농축에 중요한 역할을 담당하는 항이뇨호르몬의 생성과 작용 단계의 이상으로 발생합니다. 신장성 요붕증은 신장이 항이뇨효르몬에 이상 반응을 보이면서 소변을 농축하는 능력을 상실하여 발생합니다."
82,심근경색증,급성 심근경색증(Acute myocardial infarction),"심장내과, 심장병원","급성 심근경색,동맥증후군,심근경색,심근경색증",급성 심근경색증은 심장 근육을 먹여 살리는 관상동맥이 갑작스럽게 완전히 막혀서 심장 근육이 죽어가는 질환입니다. '혈전'이라는 피떡이 심장에 혈액을 공급하는 관상동맥을 갑자기 막아서 심장 근육으로 혈액이 공급되지 않아서 발생합니다. 협심증과는 다릅니다.심근경색증이 발생하면 1/3은 병원에 도착하기 이전에 사망합니다. 병원에 도착하여 적절한 치료를 받더라도 사망률이 5~10%에 이르는 무서운 질환입니다.
83,심방세동 / 심방조동,심방 세동(Atrial fibrillation) / 심방 조동(Atrial Flutter)   ,"심장내과, 심장병원",심방 잔떨림,"심방 세동은 심방의 수축이 소실되어 불규칙하게 수축하는 상태로, 부정맥의 일종입니다. 심방 조동은 심방이 분당 250~400회 정도로 빠르게 수축하는 상태를 의미합니다. 대부분 우심방에 비정상적인 회귀 회로가 있어서 전기가 지속적으로 심방 내를 돌게 되어 심방이 빨리 뛰는 부정맥에 해당합니다."
84,심부전,울혈성 심부전(Congestive heart failure),"심장내과, 심장병원","울혈성심부전증,울혈심부전,울혈심부전증","울혈성 심부전은 여러 원인으로 인해 심장이 신체 조직이나 기관에서 필요한 혈액(특히 산소)을 공급할 수 없는 병태생리학적 상태를 말합니다. 그 자체가 질병인 것은 아닙니다. 심부전은 급성으로 나타날 수도 있고, 만성으로 나타날 수도 있습니다. 심부전은 흔히 다른 심장 질환, 예를 들면 만성 고혈압, 관상동맥 질환, 판막에 이상이 있는 기계적 결함, 만성적인 부정맥(심방 세동이 가장 흔함) 등의 다양한 원인 질환으로 인해서 나타납니다."
85,아토피성 피부염,아토피성 피부염(Atopic dermatitis),"피부과, 알레르기내과, 소아천식아토피센터","Atopic eczema,소아 아토피,아기 아토피,아토피,아토피 습진,아토피피부,아토피피부염","아토피성 피부염은 심한 가려움증을 동반하고 만성적으로 재발하는 피부 습진 질환입니다. 아토피성 피부염은 천식, 알레르기 비염, 만성 두드러기와 함께 대표적인 알레르기 질환 중 하나입니다. 보통 태열이라고 부르는 영아기 습진은 아토피 피부염의 시작으로 볼 수 있습니다. 아토피성 피부염의 발생 빈도는 나이가 들면서 점점 줄어들지만, 소아, 청소년, 성인에 이르기까지 호전과 악화를 반복하며 만성적인 경과를 보이기도 합니다. 전 세계적인 소아의 이환율은 약 10~30%입니다. 2010년 국내에서 실시한 설문 조사에서는 초등학생의 35.6%가 아토피 피부염으로 진단받았던 병력이 있다고 대답하였는데, 이는 2000년의 24.9%보다 현저히 증가한 것입니다."
86,안정협심증,불안정형 협심증(Unstable angina),"심장내과, 심장병원","불안정협심증,비안정성협심증","협심증은 심장에 혈액을 공급하는 혈관인 관상동맥이 동맥경화증으로 막혀서 생기는 질환입니다. 관상동맥 내부의 동맥경화성 변화는 사실상 20대 초반부터 진행됩니다. 혈관 면적의 70% 이상이 좁아지면 협심증 증상이 발생할 수 있습니다. 심근경색증은 관상동맥이 완전히 막혀서 발생하는 데 비해, 협심증은 어느 정도의 혈류는 유지됩니다. 이 때문에 주로 심장 근육의 산소 요구량이 상대적으로 증가하는 상황에서 증상이 나타납니다. 불안정형 협심증은 대개 안정형 협심증이 악화되어 나타나는 경우가 많습니다. 그 외에도 최근 1개월 내에 발생한 협심증이나 아주 작은 운동으로 발생한 협심 흉통도 불안정형 협심증으로 봅니다. 최근에 정도가 심해진 협심증, 활동 시뿐만 아니라 안정 시에도 흉통이 발생하는 경우에도 불안정형 협심증으로 진단할 수 있습니다. 이러한 불안정형 협심증의 20~50%는 관상동맥이 완전히 막혀 심장 근육이 죽는 심근경색증으로 이행할 수 있으므로, 즉각적으로 치료해야 합니다. 협심증을 적절히 진단하고, 전문적인 방법으로 환자의 상태를 파악하여, 이에 적합한 치료를 시행하는 것이 매우 중요합니다."
87,알레르기성 비염,알레르기 비염(Allergic rhinitis),"이비인후과, 소아호흡기알레르기과, 알레르기내과","알러지비염,알러지성 비염,알레르기비염,알레르기성 비염","알레르기 비염은 어떤 물질(원인 항원)에 대하여 코의 속살이 과민 반응을 일으켜 발작적이고 반복적인 재채기, 맑은 콧물, 코막힘, 코 가려움증 등의 증상이 나타나는 질환입니다. 최근 환경 오염, 공해의 증가 등에 따라 세계적으로 알레르기 비염이 증가하는 추세입니다. 전 인구의 5~20% 정도가 이 병을 앓고 있을 정도로 흔한 병입니다."
88,알코올성 간 질환 / 간 병변 / 간암,알코올성 간질환(Alcoholic liver disease),소화기내과,"알콜성 간질환,음주 간질환","알코올성 간질환은 과다한 음주로 인해 발생하는 간질환을 의미합니다. 무증상 지방간부터 알코올성 간염, 간경변, 말기 간부전에 이르는 다양한 질환을 말합니다."
89,암의 척추 전이,척추 종양(Spine Bone Tumor),"정형외과,암병원","척추암,척추 신생물","척추 종양은 원발성 종양과 전이성 종양으로 구분됩니다. 원발성 종양은 양성 종양과 악성 종양으로 구분됩니다. 원발성 종양 중 양성 종양에 해당하는 것은 거대세포종, 혈관종 등이 있습니다. 악성 종양으로는 척삭종, 연골육종 등이 있습니다. 전이성 종양은 악성 종양입니다."
90,약물 발진,약물 발진(Drug Eruption),피부과,약진,"약물에 의한 이상반응으로 피부에 발진이 생긴 것을 약물 발진, 또는 약진이라고 부릅니다."
91,약물 유발 빈맥,빈맥(Tachycardia),순환기내과,업데이트 예정,일반적으로 심장 박동수의 정상 범위는 분당 60(또는 50)회에서 100회까지로 정의합니다. 약물에 의한 빈맥이란 항부정맥제 등으로 인해 심장 박동수가 분당 100회 이상으로 빨라지는 경우를 말합니다.
92,약물 유발성 비염,약물유발성 비염(Rhinitis Medicamentosa),이비인후과,비염,약물 유발성 비염은 혈관수축제 코 스프레이를 만성적으로 사용한 사람에게서 주로 나타납니다.
93,약물에 의한 급성 신손상,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
94,약물에 의한 변비,변비(Constipation),소화기내과,변비,변비는 대장의 연동 운동이 저하되어 원활한 배변 운동을 하지 못하는 질환을 의미합니다.
95,약물에 의한 설사,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
96,약물흡입 / 흡연으로 인한 증상,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
97,양성돌발체위현훈,이석증(Benign paroxysmal vertigo)  ,이비인후과 ,"양성 돌발성 체위 현훈증,양성 발작성 현기증,양성 체위성 현훈,양성자세현훈","이석증은 주변이 빙글빙글 도는 듯한 심한 어지럼이 수초에서 1분 정도 지속되다가 저절로 좋아지는 일이 반복되는 증상으로, 원래 명칭은 양성 발작성 체위성 현훈입니다. 이석증은 어지럼의 가장 흔한 원인입니다."
98,여성호르몬대체요법,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
99,역류성 식도염,위식도 역류성 질환(Gastro-esophagus reflux disease),"가정의학과, 소화기내과, 위장관외과, 소아소화기영양과","역류성 식도염,위 식도 역류질환","위식도 역류성 질환은 위 내용물이 소량씩 식도로 역류하고, 이러한 역류의 과정이 반복되어 식도 점막이 손상되어 염증이 나타나는 질환을 의미합니다. 이는 위와 식도 사이에서 위의 내용물이 식도로 올라오는 것을 막아 주는 조임쇠 역할을 하는 괄약근에 이상이 생겨 발생합니다."
100,연골연화증,연골연화증(Chondromalacia),정형외과,"슬개 대퇴 동통 증후군,슬개골 연골연화증","연골연화증은 관절 내 연골 조직이 약해지거나 손상된 것을 의미합니다. 관절 연골은 관절 내 골단부를 둘러싸고 있습니다. 관절 연골은 뼈의 충격을 흡수하는 완충 작용을 하고, 뼈가 마찰 없이 부드럽게 움직일 수 있도록 도와줍니다. 이러한 관절 연골이 약해지는 부분이 점점 늘어날수록 연골은 갈라지거나 실타래처럼 벗겨집니다. 심한 경우에는 파괴된 연골이 완전히 마모되어서 슬개골 뒷면의 뼈가 노출되기도 합니다. 하지만 연골연화증이 있다고 해서 반드시 통증을 일으키는 것은 아닙니다. 현재 연골연화증은 슬개 대퇴 퇴행성 관절염의 전 단계로 여겨집니다. 연골연화증은 병리학적인 병명으로, 현재는 슬개 동통 증후군 혹은 슬개 대퇴 동통 증후군이라는 병명을 사용합니다."
101,연쇄상구균 감염 후 사구체신염,사구체신염(Glomerulonephritis),신장내과,"급성사구체신염,만성사구체신염,신염,신장염",사구체신염은 면역 기능 이상에 의해 사구체에 염증 반응이 일어났을 때 그에 따른 증상과 징후가 발생하는 질환을 통칭합니다.
102,염증성 장질환,크론병(Crohn's disease),"소화기내과, 대장항문외과, 소아소화기영양과","국한성 창자염,염증성 장질환,육아종성 대장염,크론씨병","크론병은 입에서 항문까지 소화기관 전체에 발생할 수 있는 만성 염증성 장질환입니다. 궤양성 대장염과 달리 장의 모든 층에 염증이 침범할 수 있습니다. 주로 대장과 소장이 연결되는 부위인 회맹부에 발병하는 경우가 흔하고, 그 다음으로 대장, 회장 말단부, 소장 등에서 많이 발생합니다."
103,옴 진드기 전염,옴(Scabies)       ,피부과,"개선증,피부병 옴      ","옴은 개선충이라는 피부 기생충에 의해 발생하는 질환입니다. '개선'이라고도 합니다. 옴은 대개 성관계로 전염되기 때문에 성병으로 분류할 수 있습니다. 또, 옴은 피부 접촉을 통하여 전염되므로, 성관계를 한 뒤 함께 잠을 자면 단순히 성관계만 한 것보다 전염이 될 확률이 높습니다."
104,외상 관절염,관절염(Arthritis),"재활의학과, 정형외과, 류마티스내과","Arthrosis,Osteo-arthrosis,골관절증,관절의 염증,관절증,뼈마디염",관절염은 관절 연골이 파괴되고 관절에 염증성 변화가 일어나는 질환을 의미합니다.
105,요로결석,요관 결석(Ureteral stone),비뇨의학과,요로결석,"요관 결석은 말 그대로 요관에 위치한 결석을 말합니다. 소변은 신장에서 피를 걸러 생성되어 배출되고, 신우와 요관을 거쳐 방광에 도달하여 그곳에 모여 있다가, 요도를 통해 배설됩니다. 이렇게 소변이 생성되어 배출되는 경로를 요로라고 하고, 이 중 신장과 방광 사이의 요로를 요관이라고 합니다."
106,요붕증,요붕증(Diabetes insipidus),"내분비내과, 소아내분비대사과",항이뇨호르몬 결핍증,"우리 몸이 제 기능을 하기 위해서는 항상 적절한 수분이 필요합니다. 우리 몸의 수분 상태를 조절해 주는 가장 중요한 물질 중 하나가 바로 항이뇨호르몬입니다. 이 항이뇨호르몬은 뇌하수체에서 분비되며, 신장에서 소변을 통해 빠져나가는 수분 중 우리 몸이 필요한 만큼의 수분을 재흡수하도록 조절합니다. 만일 뇌하수체에서 항이뇨호르몬이 제대로 분비되지 않거나, 항이뇨호르몬이 신장에서 작용하지 못하면 몸에서 필요한 수분이 재흡수되지 못하고 소변을 통해 필요 이상 많이 빠져나갑니다. 이처럼 항이뇨호르몬 분비가 부족하거나 신장에서 제 기능을 하지 못하는 상태를 요붕증이라고 합니다."
107,요추압박골절,요추압박골절(Lumbar Compression Fracture),"정형외과,신경외과",척추 압박 골절,"요추압박골절은 골다공증, 외부의 강한 충격 등으로 인해 척추가 납작하게 주저앉게 되어 통증을 유발하는 질환을 말합니다. 주로 골다공증으로 인하여 골밀도가 감소하게 되면 넘어지거나 작은 외부의 충격에도 압박골절이 발생하게 됩니다. 척추 뼈가 골절된 상태에서 굳어버리게 되고 척추 본래의 기능과 모양이 변형되고 허리가 굽어지게 됩니다."
108,요추염좌,요추 염좌(Lumbar sprain)       ,정형외과,삠,요추 염좌는 요추(허리뼈)부위의 뼈와 뼈를 이어주는 섬유조직인 인대가 손상되어 통증이 생기는 상태를 말합니다.
109,원발다음증,원발성다음증(primary polydipsia),내분비내과,"일차적다음증,원발성다음다갈증","갈증을 느껴 수분섭취를 증가시키는 것으로 수분섭취를 증가한 상태인 과음증의 한 종류입니다. 원발성 다음증인 경우 신장이 처리하기 어려울 정도로 수분 섭취가 많아져 체중이 증가되거나, 혈청 나트륨 등의 전해질이 희석되어 발작이나 심한 경우 심정지가 발생할 수도 있어 매우 주의깊게 관찰이 필요 합니다."
110,원발성 알도스테론증,고혈압(Essential (primary) hypertension),"가정의학과, 심장내과","High blood pressure,Hypertension,본태성 고혈압,속발성 고혈압",고혈압은 혈압이 여러 원인으로 인해 높아진 상태를 의미합니다.
111,원발성 월경곤란,원발성 월경곤란(Primary dysmenorrhea),산부인과,"생리곤란증,생리통,원발성 월경곤란증,월경곤란,월경곤란증,월경통,일차성 생리통","월경곤란증은 흔히 말하는 생리통으로, 생리를 하는 여성의 약 50%에서 나타납니다. 골반에 아무런 이상이 없는데 생리통이 있는 경우를 원발성 월경곤란(일차성 생리통)이라고 하고, 기질적인 원인이 있는 경우를 속발성 월경곤란(이차성 생리통)이라고 합니다. 일차성 생리통은 대개 초경 후 1~2년 이내에 나타납니다. 주로 젊은 여성에게 나타나지만 40대까지 계속될 수 있습니다. 이차성 생리통은 골반의 병변이 원인이 되어 발생하기 때문에 초경 후 수년이 지난 후에 생깁니다. 무배란성 월경에서도 생깁니다."
112,월경에 의한 유방통,유방통(Mastodynia),유방외과,"유방통증,젖가슴통증",유방통은 유방에 느껴지는 통증을 말합니다. 비교적 흔한 증상입니다. 유방통은 대부분 월경 시 호르몬 변화에 의해 발생하는 주기성 통증입니다.
113,위암,위암(Stomach cancer),"소화기내과, 종양내과, 방사선종양학과, 위장관외과, 암병원","Gastric cancer,Malignant neoplasm of stomach,cancer of the stomach,위 악성종양,위선암,위선암종,위암종","위에 발생하는 악성 종양에는 위 선암, 림프종, 위 점막하 종양, 평활 근육종 등이 있습니다. 이 중에서 위 선암이 98%를 차지합니다. 따라서 위암은 일반적으로 위 선암을 말합니다. 위암은 위의 점막에서 발생합니다. 시간이 지남에 따라 점막하층, 근육층, 장막하층, 장막층으로 침윤합니다. 위암은 점막 또는 점막하층을 따라 위 내에 넓게 퍼지기도 하고, 점막층에서 장막층을 향해 깊이 퍼지기도 합니다. 위 주변의 임파선을 따라서, 혹은 혈류의 파급에 의해 간, 폐, 뼈 등의 여러 부위로 퍼질 수 있습니다."
114,위축성 질염,노인성 질염(Senile (atrophic) vaginitis),산부인과,"노인성 질염,비특이성 질염,위축성 질염","노인성 질염은 폐경에 따라 발생하는 질염을 의미합니다. 폐경이 오면 난소에서 분비하는 호르몬의 양이 감소하여, 호르몬 작용으로 유지하던 질 점막이 점차 얇아지고 질 점막의 혈관 분포가 감소하면서 질 내부의 정상적인 주름이 없어집니다. 이 때문에 질 점막이 감염, 외상에 약해지며 심하게 위축되는데, 이것이 위축성 질염을 유발할 수 있습니다."
115,유당불내증,유당분해효소결핍증(Lactose intolerance),가정의학과,"우유 소화불량,유당분해효소결핍,유당불내증,젖당분해효소결핍,젖당불내성","유당은 우유에 함유된 물질입니다. 유당 분해 효소인 락타아제가 부족한 사람이 유당을 섭취하면, 유당이 소장에서 삼투 현상에 의해 수분을 끌어들임으로써 팽만감과 경련을 일으키고, 대장을 통과하면서 설사를 유발합니다. 이러한 현상을 유당분해효소결핍증이라 합니다."
116,유방 외상,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
117,유방낭종,낭종(cyst),"유방외과, 피부과",업데이트 예정,"낭종이란 주위 조직과 뚜렷이 구별되는 막과 내용물을 지닌 주머니를 말합니다. 낭종은 신장, 간, 유방, 피부 등 어느 부위에나 생길 수 있습니다. 통상적으로 낭종이 한번 형성되면 수술로 제거되지 않는 한 없어지지 않고 평생 지속됩니다. 낭종의 대부분은 양성이어서 건강에 큰 영향을 미치지 않지만 간혹 암이나 전암성 병변(암이 되기 전 단계의 병변)일 수 있으며, 심각한 기저질환을 의미할 수도 있습니다."
118,유방농양,유방 농양(Abscess of breast),유방외과,유망농양,"유방에 여러 가지 원인으로 염증이 생긴 것을 유선염이라고 하고, 유선염이 진행되어 유방에 고름 주머니가 생긴 것을 유방 농양이라고 합니다."
119,유방암,유방암(Breast cancer),"종양내과, 방사선종양학과, 성형외과, 재활의학과, 유방외과","Breast Cancer,Breast tumor,유방 악성신생물,유방종",유방암은 유방에 발생하는 모든 악성 종양을 통틀어 말하는 것입니다. 유방암은 유방에 비정상적인 조직이 계속 자라거나 다른 장기에 퍼지는 치명적인 병입니다. 미국에서는 유방암이 오래전부터 여성 암 중 1위를 차지하고 있습니다. 우리나라에서도 유방암의 발생이 꾸준히 증가해 2001년에는 여성 암 중 가장 많은 암이 되었습니다. 현재까지 지속적으로 증가하는 추세입니다.
120,유방염(유선염),유선염(Mastitis),유방외과,업데이트 예정,유선염은 유방에 생기는 세균성 감염을 말합니다. 
121,유산,유산(Abortion),산부인과,"사산,유발유산,자연유산",유산은 태아가 생존할 수 있는 단계인 임신 20주 이전에 죽는 현상을 말합니다. 유산은 전체 임신의 약 20~30%에 달합니다. 이 중에서 80% 이상이 처음 3개월 이전에 발생합니다. 그 이후에는 유산의 빈도가 급격히 감소합니다.
122,유착성 관절낭염,동결견(Frozen shoulder),"정형외과, 소아정형외과","오십견, 동결견 ",동결견(흔히 '오십견'이라고도 함)은 특별한 외상 없이 어깨에 통증이 발생하고 그 통증으로 인하여 어깨의 움직임에 지장이 생기는 질환을 의미합니다.
123,윤활막염,윤활막염(synovitis)   ,정형외과,"활막염, 활액막염","윤활막염은 관절의 윤활막이 외상이나 염증 등으로 인해 자극을 받아 혈구와 단백질 섬유를 함유하는 점액을 생성함으로써 관절이 붓고, 굽히거나 펴는 동작이 제한되는 질병이다. 증세는 관절을 자유롭게 움직이지 못하는데, 통증·경련·파행증 등을 동반하기도 한다."
124,일과성 허혈 발작,일과성 뇌허혈증(Transient cerebral ischemia),신경과,"Transient Ischemic Attack,일과성 허혈성 발작,일과성뇌허혈발작,일과성뇌허혈현상",일과성 뇌허혈증은 혈전이 혈관을 막기 전에 저절로 녹아서 그 증상이 몇 분 또는 몇 시간 이내(24시간 이내)에 사라지는 것을 말합니다.
125,일차성 고콜레스테롤혈증,고콜레스테롤혈증(Pure hypercholesterolemia),"가정의학과, 내분비내과, 심장내과, 노년내과","고콜레스테롤혈, 과콜레스테롤,과콜레스테롤혈증,콜레스테롤과다증",고콜레스트롤혈증은 혈액 내 콜레스테롤이 과도하여 발생하는 질환입니다.
126,임신,임신(Pregnancy),산부인과,업데이트 예정,"임신이란 수정란이 자궁 내벽에 착상하여 모체로부터 영양을 공급받으며 태아로 발육하는 과정이다, 사람의 임신기간은 일반적으로 약 280일이다."
127,자궁경부암,자궁경부암(Cervical cancer),"산부인과, 암병원",Malignant neoplasm of cervix,"자궁은 크게 두 부분으로 나뉘는데, 자궁의 약 4분의 3을 차지하는 몸 부분(체부)과 질로 연결되는 목 부분(경부)이 있습니다. 자궁경부암은 자궁의 목 부분인 자궁경부에 발생하는 암을 의미합니다."
128,자궁경부염,자궁경부염(Cervicitis),산부인과,"자궁경관염,자궁입구염",자궁경부염은 자궁 입구에 있는 자궁경부에 염증이 생기거나 균에 감염되는 질환을 말합니다. 주로 자궁경부나 자궁경관을 덮고 있는 점막에 흔히 발생합니다. 전염성일 수 있습니다. 사춘기 이후 모든 연령층의 여성에게 나타납니다. 급성 자궁경부염은 박테리아나 바이러스 감염에 의해서 나타납니다. 특이한 증상이 나타납니다. 만성 자궁경부염은 장시간에 걸친 감염증입니다.
129,자궁근종,자궁의 평활근종(Leiomyoma of uterus),산부인과,자궁근종,"자궁의 평활근종은 자궁의 근육세포에서 생기는 종양입니다. 자궁에서 가장 흔히 발생하는 양성 종양입니다. 흔히 자궁근종이라고 부릅니다. 에스트로겐의 영향을 받는 일종의 호르몬 의존성 종양입니다. 여성에게 비교적 흔한 질병으로, 가임기 여성의 약 25~35%에서 발견됩니다. 특히 35세 이상의 여성 40~50%에게 발견됩니다."
130,자궁내막암,자궁내막암(Endometrial cancer),"산부인과, 암병원","Malignant neoplasm of endometrium,자궁체부암",자궁의 가장 안쪽 면을 자궁내막이라고 합니다. 이 자궁내막은 약 한 달 주기로 두꺼워졌다가 얇아지는 과정을 반복합니다. 두꺼워진 자궁내막층이 떨어져 나감으로써 월경을 하게 됩니다. 자궁내막암은 이러한 자궁내막에 비정상적인 세포로 이루어진 암이 생기는 질환입니다. 암이 자궁내막에 생겨 자궁의 대부분을 구성하는 근층으로 자라나가기 때문에 ‘자궁체부암’이라고 부르기도 합니다. 이 질환의 발생 빈도는 동양보다 서양에서 높습니다. 그러나 최근에 우리의 생활 양식이 서구화되면서 이 질환의 발생도 점차 증가하는 추세입니다.
131,자궁내막증,자궁내막증(Endometriosis)      ,산부인과,"자궁내막 이상증식증,자궁내막증식,자궁내막증식증","자궁내막증은 자궁내막 조직(자궁선과 기질)이 자궁 밖에 존재하여 질환을 유발하는 상태를 의미합니다. 자궁 밖에 위치한 이소성 자궁내막 세포는 각종 성호르몬에 대한 수용체를 가지고 있습니다. 월경 주기에 따라 병변에 국소적인 출혈, 염증 반응이 생겨 결국 섬유화, 유착 등이 발생하고, 이로 인한 통증과 불임증 등이 생깁니다."
132,자궁선근증,자궁선근증(Adenomyosis),산부인과,"endometriosis interna,선근증,자궁선근종,자궁선종,자궁선증","자궁선근증(자궁선종)은 자궁 내막 조직이 비정상적으로 증식하여 자궁이 커지는 것을 의미합니다. 전체적으로 자궁이 커져서, 임신 시의 자궁처럼 커질 수 있습니다."
133,자궁외 임신,자궁 외 임신(Ectopic pregnancy),산부인과,"나팔관 임신,난관임신",자궁 외 임신은 수정란이 정상적으로 착상을 하는 장소인 자궁 내부가 아니라 다른 장소에 착상되는 임신을 말합니다.
134,자궁외임신,자궁 외 임신(Ectopic pregnancy),산부인과,"나팔관 임신,난관임신",자궁 외 임신은 수정란이 정상적으로 착상을 하는 장소인 자궁 내부가 아니라 다른 장소에 착상되는 임신을 말합니다.
135,자궁유착,자궁내유착(intrauterine synechia),산부인과,자궁내유착,과거 소파 수술이나 자궁내막염을 앓아 자궁의 내막이 손상되거나 자궁의 앞뒤면이 서로 달라붙어 딱딱해진 것을 말합니다.
136,장중첩증,장중첩증(Intussusception),"산부인과, 소아외과","장겹칩증,창자겹침증","장중첩증은 장이 말려 들어가는 것을 말합니다. 소장에서 대장으로 넘어갈 때 갑자기 굵어지므로, 소장의 맨 아랫부분인 회장이 대장 앞에 있는 맹장으로 말려 들어가는 경우가 가장 많습니다."
137,장폐색,장폐색(Intestinal obstruction),"소화기내과, 소아외과, 대장항문외과","ileus,장폐색증","장폐색은 소장이나 대장의 일부가 여러 요인에 의해 부분적으로 또는 완전히 막혀서 장의 내용물(음식물, 소화액, 가스)이 빠져나가지 못하여, 배변과 가스가 장내에 축적되어 장애를 일으키는 현상을 말합니다."
138,저혈당,저혈당증(Hypoglycemia),"내분비내과, 소아내분비대사과",저혈당,"저혈당증은 혈당이 정상인보다 낮은 상태를 말합니다. 일반적으로 혈당이 50mg/dl 이하일 때를 말합니다(참고로 정상인의 혈당은 공복의 경우 60~120㎎/㎗, 식사 2시간 후의 혈당은 140㎎/㎗ 이하로 유지됩니다). 하지만 사람마다 저혈당으로 인한 증상이 나타나는 혈당 수치가 다릅니다. 따라서 모든 사람의 저혈당 기준을 50mg/dl 이하라고 할 수는 없습니다."
139,저혈당성 쇼크,저혈당증(Hypoglycemia),"내분비내과, 소아내분비대사과",저혈당,저혈당증이 오래 지속되면 경련이나 발작이 있을 수 있고 쇼크 상태가 초래되어 의식을 잃을 수도 있습니다.
140,전신 홍반성 루푸스,전신 홍반성 낭창(Systemic lupus erythematosus),"신장내과, 소아신장과, 류마티스내과","낭창,루퍼스,루푸스,루프스,전신성 에리테마토우시스,전신성 홍반성 낭창,전신성 홍반성 루푸스,홍반성 낭창,홍반성 루푸스,홍반성 루프스,SLE",전신 홍반성 낭창은 주로 가임기를 포함한 젊은 여성에게 발병하는 대표적인 만성 자가면역 질환입니다. 
